,scraped_bday,home_town,scraped_dday,living_status,summary,wiki_page,image
Luenell,1959-03-12,"Tollette, Arkansas, US",,Alive,"Luenell Campbell (born March 12, 1959), known mononymously as Luenell, is an American comedian and actress.Luenell was born in Tollette, Arkansas, and is best known by her first name. The youngest of eight children,[2] she was raised in Northern California and attended Castro Valley High School.[2] She has one daughter and lives in Los Angeles, California.",https://en.wikipedia.org/wiki/Luenell,https://upload.wikimedia.org/wikipedia/commons/4/43/Academy_Awards_afterparty_CUN_Luenell.jpg
Stephen Lynch,1971-7-28,"Abington Township, Montgomery County, Pennsylvania|Abington Township, Pennsylvania, U.S.",,Alive,"Stephen Andrew Lynch (born July 28, 1971) is an American comedian, musician and actor who is known for his songs mocking daily life and popular culture. Lynch has released four studio albums and four live albums along with a live DVD. He has appeared in two Comedy Central Presents specials and starred in the Broadway adaptation of The Wedding Singer. Lynch released a double-disc album, Lion, on November 13, 2012.",https://en.wikipedia.org/wiki/Stephen_Lynch_(musician),https://upload.wikimedia.org/wikipedia/commons/f/f7/Stephen_Lynch_on_June_14%2C_2008.jpg
Paul Lynde,1926-6-13,"Mount Vernon, Ohio, U.S.",1982-1-10,Deceased,"Paul Edward Lynde (/lɪnd/; June 13, 1926 – January 10, 1982)[1][2] was an American comedian, voice artist, game show panelist and actor. A character actor with a distinctively campy and snarky persona that often poked fun at his barely-closeted homosexuality, Lynde was well known for his roles as Uncle Arthur on Bewitched, the befuddled father Harry MacAfee in Bye Bye Birdie, and as a regular ""center square"" panelist on the game show The Hollywood Squares from 1968 to 1981. He also voiced animated characters for four Hanna-Barbera productions.Lynde regularly topped audience polls of most-liked TV stars,[3] and was routinely admired and recognized by his peers during his lifetime.",https://en.wikipedia.org/wiki/Paul_Lynde,https://upload.wikimedia.org/wikipedia/commons/a/a5/The_Paul_Lynde_Show_Paul_Lynde_1972_No_2.jpg
Moms Mabley,1894-3-19,"Brevard, North Carolina, U.S.",1975-5-23,Deceased,"Loretta Mary Aiken (March 19, 1894 – May 23, 1975), known by her stage name Jackie ""Moms"" Mabley, was an American stand-up comedian and actress. Beginning her career on the theater stage in the 1920s, Mabley became a veteran entertainer of the Chitlin' Circuit of African-American vaudeville. Mabley later recorded comedy albums and appeared on the Ed Sullivan Show, The Smothers Brothers Comedy Hour, various television programs and films.[1]Loretta Mary Aiken was born in Brevard, North Carolina, on March 19, 1894.",https://en.wikipedia.org/wiki/Moms_Mabley,https://upload.wikimedia.org/wikipedia/commons/3/38/Jackie_Moms_Mabley_1968.JPG
Bernie Mac,1957-10-5,"Chicago, Illinois, U.S.",2008-8-9,Deceased,"Bernard Jeffrey McCullough (October 5, 1957 – August 9, 2008[1]), better known by his stage name Bernie Mac, was an American comedian, actor, and voice actor. Born and raised on Chicago's South Side, Mac gained popularity as a stand-up comedian. He joined fellow comedians Steve Harvey, Cedric the Entertainer, and D. L.",https://en.wikipedia.org/wiki/Bernie_Mac,https://upload.wikimedia.org/wikipedia/commons/d/dc/BernieMacSoulMenMarch08.jpg
Norm Macdonald,1959-10-17,"Quebec City, Quebec, Canada",,Alive,"Norman Gene Macdonald[1] (born October 17, 1959)[2][3][4][5] is a Canadian stand-up comedian, writer, and actor. He was a cast member for five seasons on Saturday Night Live, which included anchoring Weekend Update for three years.[6] Early in his career, he wrote for the sitcom Roseanne and made appearances on shows including The Drew Carey Show and NewsRadio. He starred in The Norm Show from 1999 to 2001.",https://en.wikipedia.org/wiki/Norm_Macdonald,https://upload.wikimedia.org/wikipedia/commons/1/1f/Norm_MacDonald_%2826378045703%29_%28cropped%29.jpg
Al Madrigal,1971-7-4,"San Francisco, California, United States",,Alive,"Alessandro Liborio Madrigal (born July 4, 1971)[1] is an American comedian, writer, actor and producer. He is a co-founder of the All Things Comedy podcast network, alongside Bill Burr. He rose to fame on The Daily Show with Jon Stewart as a regular correspondent for five seasons. Outside of the standup world, he is known for his co-starring roles in the film Night School, Showtime's dark comedy I'm Dying Up Here, NBC's About A Boy, as well as CBS sitcoms Gary Unmarried and Welcome to The Captain.",https://en.wikipedia.org/wiki/Al_Madrigal,https://upload.wikimedia.org/wikipedia/commons/1/11/MADRIGAL.jpg
Bill Maher,1956-1-20,"New York City, New York (state)|New York, U.S.",,Alive,"William Maher (/mɑːr/; born January 20, 1956)[2] is an American comedian, political commentator, and television host. He is known for the HBO political talk show Real Time with Bill Maher (2003–present) and the similar late-night show called Politically Incorrect (1993–2002), originally on Comedy Central and later on ABC.Maher is known for his political satire[3] and sociopolitical commentary. He targets many topics including religion, political correctness and the mass media.",https://en.wikipedia.org/wiki/Bill_Maher,https://upload.wikimedia.org/wikipedia/commons/4/44/BillMaherSept10.jpg
Joe Mande,1983-3-16,"Albuquerque, New Mexico, U.S.",,Alive,"Joseph Mande (born March 16, 1983) is an American stand-up comedian, writer and actor.Mande was born in Albuquerque, New Mexico to Louis Mande, a lawyer, and Deborah Mande, a judge.[1] He moved to St. Paul, Minnesota at the age of ten[2] and graduated from Central High School in 2001.",https://en.wikipedia.org/wiki/Joe_Mande,https://upload.wikimedia.org/wikipedia/commons/e/e4/Joe_Mande.jpg
Sebastian Maniscalco,1973-07-08,"Arlington Heights, Illinois, U.S.",,Alive,"Sebastian Maniscalco (/mænɪˈskælkoʊ/; Italian: [mani'skalko]; born July 8, 1973) is an American stand-up comedian and actor. Born in Arlington Heights, Illinois, Maniscalco began his career in 1998 when he moved to Los Angeles performing at open mics at the Four Seasons Hotel where he worked as a waiter. In 2005, he began performing regularly at The Comedy Store. Since then, he has released five comedy specials.",https://en.wikipedia.org/wiki/Sebastian_Maniscalco,No Image
Cheech Marin,1946-07-13,"South Los Angeles, California, U.S.",,Alive,"Richard Anthony ""Cheech"" Marín (born July 13, 1946) is an American stand-up comedian, actor, writer and activist, who gained recognition as part of the comedy act Cheech & Chong during the 1970s and early 1980s with Tommy Chong and as Don Johnson's partner, Insp. Joe Dominguez, on Nash Bridges. He has also voiced characters in several Disney films, including Oliver & Company, The Lion King, the Cars series, Coco and Beverly Hills Chihuahua.Marín's trademark is his characters' strong Chicano accents, although Marin himself is not fluent in Spanish.",https://en.wikipedia.org/wiki/Cheech_Marin,https://upload.wikimedia.org/wikipedia/commons/8/8a/Cheech_Marin_2012.jpg
Mike Marino,1921-10-8,"London, England, United Kingdom",1981-8-24,Deceased,"Mike Marino (born October 8, 1921 as Michael Harrison[1] - died 24 August 1981[2]) was an English professional wrestler and a leading name during the World of Sport era in British wrestling. At his death Marino was holder of the three Mid-Heavyweight titles active in Britain at the time. Mike Marino was cousin to fellow wrestler Joe D'Orazio [3]Born in London of Italian extraction, Marino initially turned to boxing as a Cruiserweight. However unable to obtain a licence to box in the United Kingdom, he spent his entire career in mainland Europe.",https://en.wikipedia.org/wiki/Mike_Marino,https://upload.wikimedia.org/wikipedia/en/2/20/Mike_Marino.jpg
Bob Marley,1967-04-04 00:00:00,"Portland, Maine, U.S.",,Alive,"Robert Cochrane Marley Jr. (born April 4, 1967) is an American comedian. He has appeared on The David Letterman Show, Late Night with Conan O'Brien, and Comedy Central. He can be seen in the film The Boondock Saints.",https://en.wikipedia.org/wiki/Bob_Marley_(comedian),No Image
Marc Maron,1963-9-27,"Jersey City, New Jersey, U.S.",,Alive,"Marc David Maron (/ˈmærən/ MAIR-ən; born September 27, 1963) is an American stand-up comedian, podcaster, writer and actor.In the 1990s and 2000s, Maron was a frequent guest on the Late Show with David Letterman and appeared more than forty times on Late Night with Conan O'Brien, more than any other stand-up comedian.[2][3] He hosted Comedy Central's Short Attention Span Theater from 1993 to 1994, replacing Jon Stewart.[4] He was also a regular guest on Tough Crowd with Colin Quinn and hosted the short-lived 2002 American version of the British game show Never Mind the Buzzcocks on VH1.",https://en.wikipedia.org/wiki/Marc_Maron,https://upload.wikimedia.org/wikipedia/commons/e/eb/Marc_Maron_%282015%29_%28cropped%29.jpg
Steve Martin,1945-8-14,"Waco, Texas|Waco, Texas, U.S.",,Alive,"Stephen Glenn Martin (born August 14, 1945) is an American actor, comedian, author, filmmaker, and musician. Martin came to public notice in the 1960s as a writer for The Smothers Brothers Comedy Hour, and later as a frequent guest on The Tonight Show. In the 1970s, Martin performed his offbeat, absurdist comedy routines before packed houses on national tours. Since the 1980s, having branched away from comedy, Martin has become a successful actor, as well as an author, playwright, pianist, and banjo player, eventually earning him Emmy, Grammy, and American Comedy awards, among other honors.",https://en.wikipedia.org/wiki/Steve_Martin,https://upload.wikimedia.org/wikipedia/commons/0/0a/Steve_Martin%2C_2017-08-11.jpg
Demetri Martin,1973-5-25,"New York City, New York (state)|New York, U.S.",,Alive,"Demetri Evan Martin (Greek: Δημήτριος Ευάγγελος Μάρτιν : Dīmītrios Evángelos Mártin; born May 25, 1973) is an American comedian, actor, director, cartoonist and musician. He was a contributor on The Daily Show. In stand-up, he is known for his deadpan delivery, playing his guitar for jokes, and his satirical cartoons. He currently stars as Ice Bear in the Cartoon Network animated series We Bare Bears.",https://en.wikipedia.org/wiki/Demetri_Martin,https://upload.wikimedia.org/wikipedia/commons/1/19/Demetri_Martin.jpg
Marilyn Martinez,1955-2-9,No home town,2007-11-3,Deceased,"Marilyn Martinez (February 9, 1955 – November 3, 2007) was an American stand up comedian and actress. She was a regular performer at The Comedy Store in Hollywood.Martinez was of Mexican descent. She appeared in numerous television comedy specials including 1st Amendment Stand Up; Hot Tamales Live: Spicy, Hot and Hilarious; and The Latin Divas of Comedy.",https://en.wikipedia.org/wiki/Marilyn_Martinez,No Image
Jackie Martling,1948-2-14,"Mineola, New York, US",,Alive,"John Coger ""Jackie"" Martling, Jr. (born February 14, 1948) is an American stand-up comedian, writer, radio personality, author, and actor also known as ""Jackie the Joke Man"". He is best known as the former head writer for The Howard Stern Show from 1983 to 2001.Born and raised on Long Island, New York, Martling began a career in stand-up comedy in 1979, developing a blue comedy act in local venues.",https://en.wikipedia.org/wiki/Jackie_Martling,https://upload.wikimedia.org/wikipedia/en/3/33/Jackejoke.jpg
Jackie Mason,1931-06-09,"Sheboygan, Wisconsin, U.S.",,Alive,"Jackie Mason (born Yacov Moshe Maza; June 9, 1931)[2][3] is an American stand-up comedian and film and television actor. He is ranked #63 on Comedy Central's 100 greatest stand-up comedians of all-time.[4]His 1986 one-man show The World According to Me won a Special Tony Award, an Outer Critics Circle Award, an Ace Award, an Emmy Award, and a Grammy nomination. Later, his 1988 special Jackie Mason on Broadway won another Emmy Award (for outstanding writing) and another Ace Award, and his 1991 voice-over of Rabbi Hyman Krustofski in The Simpsons episode ""Like Father, Like Clown"" won Mason a third Emmy Award.",https://en.wikipedia.org/wiki/Jackie_Mason,https://upload.wikimedia.org/wikipedia/commons/2/20/JackieMasonOct06.jpg
Shane Mauss,1980-5-25,No home town,,Alive,"Shane Mauss is an American comedian from Onalaska, Wisconsin.[2][1][3][4][5] He is the host of the Here We Are Podcast where he interviews scientists and academics from across the country. In 2014 he broke both his feet while hiking. He used the experience as inspiration for his 2015 comedy album My Big Break.",https://en.wikipedia.org/wiki/Shane_Mauss,https://upload.wikimedia.org/wikipedia/commons/5/55/Picture_of_Shane_performing_in_Boston.jpg
Ralphie May,1972-2-17,"Chattanooga, Tennessee, United States|U.S.",2017-10-6,Deceased,"Ralph Duren May (February 17, 1972 – October 6, 2017) was an American stand-up comedian and actor, known for his extensive touring and comedy specials on Netflix and other outlets.May was born on February 17, 1972, in Chattanooga, Tennessee,[1] and raised in Clarksville, Arkansas,[2] the youngest of 4 children.At 17, he won a contest to open for Sam Kinison, whom he considered his idol.[3] Kinison suggested that May move to Houston to further develop his comedy routine.",https://en.wikipedia.org/wiki/Ralphie_May,https://upload.wikimedia.org/wikipedia/commons/9/9d/Ralphie_may.jpeg
